Descrição,Código,Estoque Atual,Preço de Venda,Custo Unitário,Custo Total,Preço Total,Quant.Vendas,Valor Pago,Total Vendas
Combo 5 - Segunda a Sexta-feira,181,-589,"R$ 22,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 12.958,00",149,"R$ 3.278,00","R$ 3.278,00"
Churros,182,-4479,"R$ 10,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 44.790,00",1498,"R$ 14.980,00","R$ 14.980,00"
Cobertura 1300g,183,-4,"R$ 18,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 72,00",1,"R$ 18,00","R$ 18,00"
Ruffles 145g,184,-5,"R$ 14,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 70,00",,,
Doritos 92g,185,-1,"R$ 8,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 8,00",,,
Adicional catupiry/cheddar,186,-6,"R$ 2,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 12,00",,,
Massa de churros,187,-11,"R$ 6,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 66,00",,,
Café expresso,188,-80,"R$ 6,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 480,00",27,"R$ 144,00","R$ 144,00"
Combo Sábado,189,-1,"R$ 32,90 ","R$ 0,00 ","R$ 0,00 ","-R$ 32,90",,,
Bolo P Nozes,190,-2,"R$ 80,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 160,00",,,
catupiry ou cheddar,191,-53,"R$ 5,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 265,00",16,"R$ 65,00","R$ 65,00"
Batata ou Milho,192,-19,"R$ 4,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 76,00",1,"R$ 3,00","R$ 3,00"
"Adicional - Ovomaltine, Leite em pó",193,-84,"R$ 3,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 252,00",42,"R$ 126,00","R$ 126,00"
Cebolitos 110g,194,-6,"R$ 10,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 60,00",,,
Black Friday,195,-20,"R$ 3,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 60,00",,,
